"maxiter","width","height","lower_r","upper_r","lower_i","upper_i","nb_thread","loadbalance","try","thread","thread_start_time_sec","thread_start_time_nsec","thread_stop_time_sec","thread_stop_time_nsec","global_start_time_sec","global_start_time_nsec","global_stop_time_sec","global_stop_time_nsec"
256,500,375,-2,"0.6",-1,1,4,1,8,3,32441,601266647,32441,634002894,32441,601111179,32441,637714000
256,500,375,-2,"0.6",-1,1,4,1,8,4,32441,601254913,32441,634240984,32441,601111179,32441,637714000
256,500,375,-2,"0.6",-1,1,4,1,9,1,32441,712738457,32441,753052243,32441,712561408,32441,753085628
256,500,375,-2,"0.6",-1,1,4,1,9,2,32441,712756406,32441,750328070,32441,712561408,32441,753085628
256,500,375,-2,"0.6",-1,1,4,1,9,3,32441,712763879,32441,749263124,32441,712561408,32441,753085628
256,500,375,-2,"0.6",-1,1,4,1,9,4,32441,726156923,32441,748014076,32441,712561408,32441,753085628
256,500,375,-2,"0.6",-1,1,4,1,10,1,32441,826051223,32441,861111730,32441,825964479,32441,864790010
256,500,375,-2,"0.6",-1,1,4,1,10,2,32441,826052340,32441,863635947,32441,825964479,32441,864790010
256,500,375,-2,"0.6",-1,1,4,1,10,3,32441,826071407,32441,864759699,32441,825964479,32441,864790010
256,500,375,-2,"0.6",-1,1,4,1,10,4,32441,836065607,32441,861012136,32441,825964479,32441,864790010
256,500,375,-2,"0.6",-1,1,4,2,1,1,32441,944119227,32442,81027993,32441,943980871,32442,81062914
256,500,375,-2,"0.6",-1,1,4,2,1,2,32441,944094433,32441,944095620,32441,943980871,32442,81062914
256,500,375,-2,"0.6",-1,1,4,2,1,3,32441,944110357,32441,944111055,32441,943980871,32442,81062914
256,500,375,-2,"0.6",-1,1,4,2,1,4,32441,956033723,32441,956034282,32441,943980871,32442,81062914
256,500,375,-2,"0.6",-1,1,4,2,2,1,32442,167921340,32442,307397695,32442,167887327,32442,307403702
256,500,375,-2,"0.6",-1,1,4,2,2,2,32442,167917778,32442,167919524,32442,167887327,32442,307403702
256,500,375,-2,"0.6",-1,1,4,2,2,3,32442,167923645,32442,167925321,32442,167887327,32442,307403702
256,500,375,-2,"0.6",-1,1,4,2,2,4,32442,167920083,32442,167920781,32442,167887327,32442,307403702
